ba,node_b,bin,cap_mw,marginal_$_per_MW,marginal_$_per_kW,cum_cap_mw_node
p63,b005050,12,0.1182747342963065,13324546.040327424,13324.546040327425,38.39329130773774
p63,b005231,0,21.457377856086435,20387.568418505747,20.387568418505747,21.457377856086435
p63,b005231,7,0.3107285599385641,558476.2277283575,558.4762277283576,21.768106416025
p63,b005231,8,0.3724155514143914,1455670.1695349184,1455.6701695349184,22.14052196743939
p63,b005291,1,9.365135768332932,68201.60623169896,68.20160623169896,9.365135768332932
p63,b005291,8,0.3724155514143914,1455670.1695349184,1455.6701695349184,9.737551319747324
p63,b005311,4,0.0497624788373824,230844.972823203,230.844972823203,0.0497624788373824
p63,b005311,8,0.3724155514143921,1455670.1695349184,1455.6701695349184,0.42217803025177447
p63,b005311,12,0.6995904773202999,13324546.040327424,13324.546040327425,1.1217685075720745
p63,b005360,2,7.362459930060119,116549.41439949298,116.54941439949296,7.362459930060119
p63,b005360,7,5.653814187805961,558476.2277283575,558.4762277283576,13.016274117866079
p63,b005360,8,0.3724155514143914,1455670.1695349184,1455.6701695349184,13.38868966928047
p63,b005403,0,92.77390992188704,20387.568418505747,20.387568418505747,92.77390992188704
p63,b005403,8,0.3724155514144056,1455670.1695349184,1455.6701695349184,93.14632547330145
p63,b005403,9,22.14005789382644,1546788.41881199,1546.78841881199,115.28638336712788
p63,b005403,11,88.18556045451041,2647143.4430617127,2647.143443061713,203.4719438216383
p63,b005515,0,114.10192169829932,20387.568418505747,20.387568418505747,114.10192169829932
p63,b005515,8,0.3724155514143914,1455670.1695349184,1455.6701695349184,114.47433724971371
p63,b006344,0,20.701588895643027,20387.568418505747,20.387568418505747,20.701588895643027
p63,b006344,8,0.3724155514143914,1455670.1695349184,1455.6701695349184,21.07400444705742
p63,b006376,0,22.01253683949896,20387.568418505747,20.387568418505747,22.01253683949896
p63,b006376,4,3.441943767573001,230844.972823203,230.844972823203,25.45448060707196
p63,b006376,8,0.3724155514143914,1455670.1695349184,1455.6701695349184,25.826896158486353
p63,b006464,0,42.52788807783964,20387.568418505747,20.387568418505747,42.52788807783964
p63,b006464,4,76.71541168385352,230844.972823203,230.844972823203,119.24329976169315
p63,b006464,5,4.59823647229787,294196.8424194549,294.19684241945487,123.84153623399102
p63,b006464,8,0.3724155514143914,1455670.1695349184,1455.6701695349184,124.21395178540541
p64,b000004,0,2.342540685907144,70269.89612243141,70.2698961224314,2.342540685907144
p64,b000004,1,0.6319672567909632,126871.39856748616,126.87139856748615,2.974507942698107
p64,b000004,2,203.3555963699729,167099.68744168425,167.09968744168424,206.33010431267098
p64,b000004,5,4.208468071677032,522069.0470709545,522.0690470709545,210.53857238434802
p64,b000004,6,168.37952252754033,1132032.6033321342,1132.0326033321342,378.9180949118884
p64,b000004,7,41.081905088111654,1720539.6415127672,1720.5396415127673,420.0
p64,b000500,5,4.208468071677039,522069.0470709545,522.0690470709545,4.208468071677039
p64,b000500,6,4.890538055440816,1132032.6033321342,1132.0326033321342,9.099006127117855
p64,b000500,7,142.1903980369056,1720539.6415127672,1720.5396415127673,151.28940416402347
p64,b000557,0,188.35512319754392,70269.89612243141,70.2698961224314,188.35512319754392
p64,b000557,5,4.208468071677032,522069.0470709545,522.0690470709545,192.56359126922095
p64,b000557,6,4.89053805544083,1132032.6033321342,1132.0326033321342,197.45412932466178
p64,b000557,7,3.3151415538000903,1720539.6415127672,1720.5396415127673,200.76927087846187
p64,b000633,0,30.98233492170697,70269.89612243141,70.2698961224314,30.98233492170697
p64,b000633,5,4.208468071677039,522069.0470709545,522.0690470709545,35.19080299338401
p64,b000633,6,4.890538055440816,1132032.6033321342,1132.0326033321342,40.081341048824825
p64,b000633,7,3.315141553800055,1720539.6415127672,1720.5396415127673,43.39648260262488
p64,b000805,0,47.8862248307687,70269.89612243141,70.2698961224314,47.8862248307687
p64,b000805,1,0.8680700565692236,126871.39856748616,126.87139856748615,48.75429488733792
p64,b000805,5,21.55172554568944,522069.0470709545,522.0690470709545,70.30602043302736
p64,b000805,6,56.54793357451496,1132032.6033321342,1132.0326033321342,126.85395400754231
p64,b000805,7,3.315141553800005,1720539.6415127672,1720.5396415127673,130.16909556134232
p64,b000882,5,4.208468071677032,522069.0470709545,522.0690470709545,4.208468071677032
p64,b000882,6,4.89053805544083,1132032.6033321342,1132.0326033321342,9.099006127117862
p64,b000882,7,3.3151415538000903,1720539.6415127672,1720.5396415127673,12.414147680917953
p64,b001041,2,73.84588083547432,167099.68744168425,167.09968744168424,73.84588083547432
p64,b001041,5,83.31211065463684,522069.0470709545,522.0690470709545,157.15799149011116
p64,b001041,6,39.462133555562005,1132032.6033321342,1132.0326033321342,196.62012504567315
p64,b001041,7,3.3151415538000903,1720539.6415127672,1720.5396415127673,199.93526659947327
p64,b001116,1,54.067719608007806,126871.39856748616,126.87139856748615,54.067719608007806
p64,b001116,5,946.223387658596,522069.0470709545,522.0690470709545,1000.2911072666038
p64,b001116,6,374.1326738987584,1132032.6033321342,1132.0326033321342,1374.4237811653622
p64,b001116,7,693.8790118138817,1720539.6415127672,1720.5396415127673,2068.302792979244
p64,b001116,8,0.8959745985957933,4900635.120070053,4900.635120070053,2069.1987675778396
p64,b001116,9,1.8314224820305716,9498389.66480066,9498.38966480066,2071.03019005987
p64,b001232,5,4.208468071677039,522069.0470709545,522.0690470709545,4.208468071677039
p64,b001232,6,4.890538055440812,1132032.6033321342,1132.0326033321342,9.099006127117852
p64,b001232,7,3.315141553800062,1720539.6415127672,1720.5396415127673,12.414147680917914
p64,b001410,5,4.208468071677039,522069.0470709545,522.0690470709545,4.208468071677039
p64,b001410,6,119.04914214213213,1132032.6033321342,1132.0326033321342,123.25761021380916
p64,b001410,7,3.3151415538000903,1720539.6415127672,1720.5396415127673,126.57275176760925
p64,b001573,0,186.0,70269.89612243141,70.2698961224314,186.0
p64,b001679,5,4.208468071677032,522069.0470709545,522.0690470709545,4.208468071677032
p64,b001679,6,4.89053805544083,1132032.6033321342,1132.0326033321342,9.099006127117862
p64,b001679,7,8.575786164578236,1720539.6415127672,1720.5396415127673,17.6747922916961
p64,b001989,5,4.208468071677032,522069.0470709545,522.0690470709545,4.208468071677032
p64,b001989,6,4.890538055440802,1132032.6033321342,1132.0326033321342,9.099006127117834
p64,b001989,7,5.9103911871576456,1720539.6415127672,1720.5396415127673,15.009397314275478
p64,b002140,5,11.438705821805565,522069.0470709545,522.0690470709545,11.438705821805565
