*r,rtscbin,sc_cat,value
p06047,bin1,cost,107.66
p06047,bin1,cap,1000
p06047,bin2,cost,331.26
p06047,bin2,cap,2000
p06047,bin3,cost,3312.63
p06047,bin3,cap,20000
p06053,bin1,cost,107.66
p06053,bin1,cap,1000
p06053,bin2,cost,331.26
p06053,bin2,cap,2000
p06053,bin3,cost,3312.63
p06053,bin3,cap,20000
p06055,bin1,cost,107.66
p06055,bin1,cap,1000
p06055,bin2,cost,331.26
p06055,bin2,cap,2000
p06055,bin3,cost,3312.63
p06055,bin3,cap,20000
p06057,bin1,cost,107.66
p06057,bin1,cap,1000
p06057,bin2,cost,331.26
p06057,bin2,cap,2000
p06057,bin3,cost,3312.63
p06057,bin3,cap,20000
p06061,bin1,cost,107.66
p06061,bin1,cap,1000
p06061,bin2,cost,331.26
p06061,bin2,cap,2000
p06061,bin3,cost,3312.63
p06061,bin3,cap,20000
p06063,bin1,cost,107.66
p06063,bin1,cap,1000
p06063,bin2,cost,331.26
p06063,bin2,cap,2000
p06063,bin3,cost,3312.63
p06063,bin3,cap,20000
p06067,bin1,cost,107.66
p06067,bin1,cap,1000
p06067,bin2,cost,331.26
p06067,bin2,cap,2000
p06067,bin3,cost,3312.63
p06067,bin3,cap,20000
p06069,bin1,cost,107.66
p06069,bin1,cap,1000
p06069,bin2,cost,331.26
p06069,bin2,cap,2000
p06069,bin3,cost,3312.63
p06069,bin3,cap,20000
p06075,bin1,cost,107.66
p06075,bin1,cap,1000
p06075,bin2,cost,331.26
p06075,bin2,cap,2000
p06075,bin3,cost,3312.63
p06075,bin3,cap,20000
p06077,bin1,cost,107.66
p06077,bin1,cap,1000
p06077,bin2,cost,331.26
p06077,bin2,cap,2000
p06077,bin3,cost,3312.63
p06077,bin3,cap,20000
p06079,bin1,cost,107.66
p06079,bin1,cap,1000
p06079,bin2,cost,331.26
p06079,bin2,cap,2000
p06079,bin3,cost,3312.63
p06079,bin3,cap,20000
p06081,bin1,cost,107.66
p06081,bin1,cap,1000
p06081,bin2,cost,331.26
p06081,bin2,cap,2000
p06081,bin3,cost,3312.63
p06081,bin3,cap,20000
p06083,bin1,cost,107.66
p06083,bin1,cap,1000
p06083,bin2,cost,331.26
p06083,bin2,cap,2000
p06083,bin3,cost,3312.63
p06083,bin3,cap,20000
p06085,bin1,cost,107.66
p06085,bin1,cap,1000
p06085,bin2,cost,331.26
p06085,bin2,cap,2000
p06085,bin3,cost,3312.63
p06085,bin3,cap,20000
p06087,bin1,cost,107.66
p06087,bin1,cap,1000
p06087,bin2,cost,331.26
p06087,bin2,cap,2000
p06087,bin3,cost,3312.63
p06087,bin3,cap,20000
p06089,bin1,cost,107.66
p06089,bin1,cap,1000
p06089,bin2,cost,331.26
p06089,bin2,cap,2000
p06089,bin3,cost,3312.63
p06089,bin3,cap,20000
p06091,bin1,cost,107.66
p06091,bin1,cap,1000
p06091,bin2,cost,331.26
p06091,bin2,cap,2000
p06091,bin3,cost,3312.63
p06091,bin3,cap,20000
p06095,bin1,cost,107.66
p06095,bin1,cap,1000
p06095,bin2,cost,331.26
p06095,bin2,cap,2000
p06095,bin3,cost,3312.63
p06095,bin3,cap,20000
p06097,bin1,cost,107.66
p06097,bin1,cap,1000
p06097,bin2,cost,331.26
p06097,bin2,cap,2000
p06097,bin3,cost,3312.63
p06097,bin3,cap,20000
p06099,bin1,cost,107.66
p06099,bin1,cap,1000
p06099,bin2,cost,331.26
p06099,bin2,cap,2000
p06099,bin3,cost,3312.63
p06099,bin3,cap,20000
p06101,bin1,cost,107.66
p06101,bin1,cap,1000
p06101,bin2,cost,331.26
p06101,bin2,cap,2000
p06101,bin3,cost,3312.63
p06101,bin3,cap,20000
p06103,bin1,cost,107.66
p06103,bin1,cap,1000
p06103,bin2,cost,331.26
p06103,bin2,cap,2000
p06103,bin3,cost,3312.63
p06103,bin3,cap,20000
p06105,bin1,cost,107.66
p06105,bin1,cap,1000
p06105,bin2,cost,331.26
p06105,bin2,cap,2000
p06105,bin3,cost,3312.63
p06105,bin3,cap,20000
p06109,bin1,cost,107.66
p06109,bin1,cap,1000
p06109,bin2,cost,331.26
p06109,bin2,cap,2000
p06109,bin3,cost,3312.63
p06109,bin3,cap,20000
p06113,bin1,cost,107.66
p06113,bin1,cap,1000
p06113,bin2,cost,331.26
p06113,bin2,cap,2000
p06113,bin3,cost,3312.63
p06113,bin3,cap,20000
p06115,bin1,cost,107.66
p06115,bin1,cap,1000
p06115,bin2,cost,331.26
p06115,bin2,cap,2000
p06115,bin3,cost,3312.63
p06115,bin3,cap,20000
p06025,bin1,cost,107.66
p06025,bin1,cap,1000
p06025,bin2,cost,331.26
p06025,bin2,cap,2000
p06025,bin3,cost,3312.63
p06025,bin3,cap,20000
p06027,bin1,cost,107.66
p06027,bin1,cap,1000
p06027,bin2,cost,331.26
p06027,bin2,cap,2000
p06027,bin3,cost,3312.63
p06027,bin3,cap,20000
p06029,bin1,cost,107.66
p06029,bin1,cap,1000
p06029,bin2,cost,331.26
p06029,bin2,cap,2000
p06029,bin3,cost,3312.63
p06029,bin3,cap,20000
p06037,bin1,cost,107.66
p06037,bin1,cap,1000
p06037,bin2,cost,331.26
p06037,bin2,cap,2000
p06037,bin3,cost,3312.63
p06037,bin3,cap,20000
p06051,bin1,cost,107.66
p06051,bin1,cap,1000
p06051,bin2,cost,331.26
p06051,bin2,cap,2000
p06051,bin3,cost,3312.63
p06051,bin3,cap,20000
p06059,bin1,cost,107.66
p06059,bin1,cap,1000
p06059,bin2,cost,331.26
p06059,bin2,cap,2000
p06059,bin3,cost,3312.63
p06059,bin3,cap,20000
p06065,bin1,cost,107.66
p06065,bin1,cap,1000
p06065,bin2,cost,331.26
p06065,bin2,cap,2000
p06065,bin3,cost,3312.63
p06065,bin3,cap,20000
p06071,bin1,cost,107.66
p06071,bin1,cap,1000
p06071,bin2,cost,331.26
p06071,bin2,cap,2000
p06071,bin3,cost,3312.63
p06071,bin3,cap,20000
p06107,bin1,cost,107.66
p06107,bin1,cap,1000
p06107,bin2,cost,331.26
p06107,bin2,cap,2000
p06107,bin3,cost,3312.63
p06107,bin3,cap,20000
p06111,bin1,cost,107.66
p06111,bin1,cap,1000
p06111,bin2,cost,331.26
p06111,bin2,cap,2000
p06111,bin3,cost,3312.63
p06111,bin3,cap,20000
p06073,bin1,cost,107.66
p06073,bin1,cap,1000
p06073,bin2,cost,331.26
p06073,bin2,cap,2000
p06073,bin3,cost,3312.63
p06073,bin3,cap,20000
p32001,bin1,cost,107.66
p32001,bin1,cap,1000
p32001,bin2,cost,331.26
p32001,bin2,cap,2000
p32001,bin3,cost,3312.63
p32001,bin3,cap,20000
p32005,bin1,cost,107.66
p32005,bin1,cap,1000
p32005,bin2,cost,331.26
p32005,bin2,cap,2000
p32005,bin3,cost,3312.63
p32005,bin3,cap,20000
p32007,bin1,cost,107.66
p32007,bin1,cap,1000
p32007,bin2,cost,331.26
p32007,bin2,cap,2000
p32007,bin3,cost,3312.63
p32007,bin3,cap,20000
p32009,bin1,cost,107.66
p32009,bin1,cap,1000
p32009,bin2,cost,331.26
p32009,bin2,cap,2000
p32009,bin3,cost,3312.63
p32009,bin3,cap,20000
p32011,bin1,cost,107.66
p32011,bin1,cap,1000
p32011,bin2,cost,331.26
p32011,bin2,cap,2000
p32011,bin3,cost,3312.63
p32011,bin3,cap,20000
p32013,bin1,cost,107.66
p32013,bin1,cap,1000
p32013,bin2,cost,331.26
p32013,bin2,cap,2000
p32013,bin3,cost,3312.63
p32013,bin3,cap,20000
p32015,bin1,cost,107.66
p32015,bin1,cap,1000
p32015,bin2,cost,331.26
p32015,bin2,cap,2000
p32015,bin3,cost,3312.63
p32015,bin3,cap,20000
p32017,bin1,cost,107.66
p32017,bin1,cap,1000
p32017,bin2,cost,331.26
p32017,bin2,cap,2000
p32017,bin3,cost,3312.63
p32017,bin3,cap,20000
p32019,bin1,cost,107.66
p32019,bin1,cap,1000
p32019,bin2,cost,331.26
p32019,bin2,cap,2000
p32019,bin3,cost,3312.63
p32019,bin3,cap,20000
p32021,bin1,cost,107.66
p32021,bin1,cap,1000
p32021,bin2,cost,331.26
p32021,bin2,cap,2000
p32021,bin3,cost,3312.63
p32021,bin3,cap,20000
p32023,bin1,cost,107.66
p32023,bin1,cap,1000
p32023,bin2,cost,331.26
p32023,bin2,cap,2000
p32023,bin3,cost,3312.63
p32023,bin3,cap,20000
p32027,bin1,cost,107.66
p32027,bin1,cap,1000
p32027,bin2,cost,331.26
p32027,bin2,cap,2000
p32027,bin3,cost,3312.63
p32027,bin3,cap,20000
p32029,bin1,cost,107.66
p32029,bin1,cap,1000
p32029,bin2,cost,331.26
p32029,bin2,cap,2000
p32029,bin3,cost,3312.63
p32029,bin3,cap,20000
p32031,bin1,cost,107.66
p32031,bin1,cap,1000
p32031,bin2,cost,331.26
p32031,bin2,cap,2000
p32031,bin3,cost,3312.63
p32031,bin3,cap,20000
p32033,bin1,cost,107.66
p32033,bin1,cap,1000
p32033,bin2,cost,331.26
p32033,bin2,cap,2000
p32033,bin3,cost,3312.63
p32033,bin3,cap,20000
p32510,bin1,cost,107.66
p32510,bin1,cap,1000
p32510,bin2,cost,331.26
p32510,bin2,cap,2000
p32510,bin3,cost,3312.63
p32510,bin3,cap,20000
p32003,bin1,cost,107.66
p32003,bin1,cap,1000
p32003,bin2,cost,331.26
p32003,bin2,cap,2000
p32003,bin3,cost,3312.63
p32003,bin3,cap,20000
p16009,bin1,cost,107.66
p16009,bin1,cap,1000
p16009,bin2,cost,331.26
p16009,bin2,cap,2000
p16009,bin3,cost,3312.63
p16009,bin3,cap,20000
p16017,bin1,cost,107.66
p16017,bin1,cap,1000
p16017,bin2,cost,331.26
p16017,bin2,cap,2000
p16017,bin3,cost,3312.63
p16017,bin3,cap,20000
p16021,bin1,cost,107.66
p16021,bin1,cap,1000
p16021,bin2,cost,331.26
p16021,bin2,cap,2000
p16021,bin3,cost,3312.63
p16021,bin3,cap,20000
p16055,bin1,cost,107.66
p16055,bin1,cap,1000
p16055,bin2,cost,331.26
p16055,bin2,cap,2000
p16055,bin3,cost,3312.63
p16055,bin3,cap,20000
p16057,bin1,cost,107.66
p16057,bin1,cap,1000
p16057,bin2,cost,331.26
p16057,bin2,cap,2000
p16057,bin3,cost,3312.63
p16057,bin3,cap,20000
p16061,bin1,cost,107.66
p16061,bin1,cap,1000
p16061,bin2,cost,331.26
p16061,bin2,cap,2000
p16061,bin3,cost,3312.63
p16061,bin3,cap,20000
p16069,bin1,cost,107.66
p16069,bin1,cap,1000
p16069,bin2,cost,331.26
p16069,bin2,cap,2000
p16069,bin3,cost,3312.63
p16069,bin3,cap,20000
p16001,bin1,cost,107.66
p16001,bin1,cap,1000
p16001,bin2,cost,331.26
p16001,bin2,cap,2000
p16001,bin3,cost,3312.63
