sc_point_gid,class,capacity,capital_adder_per_mw,cf,mean_resource_temp
93399,8,52.71,0,0.9946,163
93400,8,47.05,0,0.9945,161
93401,8,51.47,0,0.9945,160
93402,8,59.89,0,0.9945,159
93403,8,40.67,0,0.9945,157
93404,8,43.32,0,0.9945,156
93405,8,47.11,0,0.9945,159
93406,8,59.94,0,0.9945,161
93407,8,141.24,0,0.9946,164
93408,8,227.96,0,0.9946,163
93409,8,191.0,0,0.9946,163
93410,8,110.62,0,0.9946,162
93411,8,155.43,0,0.9946,162
93412,8,258.63,0,0.9946,163
93413,8,184.36,0,0.9946,164
93414,8,292.07,0,0.9946,164
93415,8,284.47,0,0.9946,164
93416,8,228.02,0,0.9946,164
93417,8,136.0,0,0.9946,163
93418,8,226.89,0,0.9946,162
93419,8,210.74,0,0.9946,162
93420,8,280.81,0,0.9946,164
93421,8,336.89,0,0.9946,167
93422,8,290.76,0,0.9946,165
93423,8,112.47,0,0.9946,161
93424,8,124.93,0,0.9945,160
93425,8,70.9,0,0.9946,161
93426,8,80.4,0,0.9945,157
93427,8,74.42,0,0.9945,155
93428,8,81.95,0,0.9945,155
93429,8,129.47,0,0.9945,156
93430,8,115.19,0,0.9945,155
93431,8,99.69,0,0.9944,153
93432,8,82.39,0,0.9944,153
93433,8,51.61,0,0.9944,154
93434,8,65.08,0,0.9945,154
93435,8,47.33,0,0.9945,155
93447,8,123.82,0,0.9945,157
93448,8,90.78,0,0.9945,159
93449,8,121.08,0,0.9945,158
93450,8,121.18,0,0.9945,157
93451,8,110.68,0,0.9945,157
93452,8,173.39,0,0.9945,158
93453,8,190.69,0,0.9945,159
93454,8,153.4,0,0.9945,161
93455,8,86.42,0,0.9945,160
93456,8,66.67,0,0.9945,158
93457,8,66.08,0,0.9945,158
93458,8,74.35,0,0.9945,159
93459,8,79.85,0,0.9945,160
93460,8,70.45,0,0.9945,159
93461,8,95.0,0,0.9946,161
93462,8,130.83,0,0.9946,163
93463,8,126.25,0,0.9946,164
93464,8,113.92,0,0.9946,165
93465,8,138.98,0,0.9946,167
93466,8,81.41,0,0.9947,170
93467,8,34.07,0,0.9947,170
93468,8,29.45,0,0.9946,168
93469,8,39.2,0,0.9946,165
93470,8,6.25,0,0.9946,163
93489,8,64.91,0,0.9946,161
93490,8,151.2,0,0.9945,160
93491,8,200.45,0,0.9945,160
93492,8,209.59,0,0.9945,160
93493,8,288.17,0,0.9945,160
93494,8,222.9,0,0.9945,158
93495,8,267.25,0,0.9945,159
93496,8,292.92,0,0.9945,160
93497,8,267.61,0,0.9945,160
93498,8,297.28,0,0.9945,161
93499,8,215.23,0,0.9945,160
93500,8,367.24,0,0.9945,160
93501,8,309.35,0,0.9945,160
93502,8,253.29,0,0.9946,161
93503,8,287.85,0,0.9946,162
93504,8,188.4,0,0.9946,162
93505,8,268.57,0,0.9945,161
93506,8,308.21,0,0.9945,161
93507,8,327.28,0,0.9945,160
93508,8,240.75,0,0.9945,160
93509,8,290.31,0,0.9945,160
93510,8,247.9,0,0.9945,159
93511,8,344.8,0,0.9945,159
93512,8,369.35,0,0.9945,159
93513,8,274.34,0,0.9945,160
93514,8,287.98,0,0.9945,157
93515,8,307.02,0,0.9945,156
93516,8,251.19,0,0.9945,156
93517,8,249.63,0,0.9945,157
93518,8,286.18,0,0.9945,156
93519,8,286.11,0,0.9945,156
93520,8,211.45,0,0.9945,159
93521,8,206.39,0,0.9946,161
93522,8,211.4,0,0.9945,160
93523,8,180.16,0,0.9944,154
93524,8,210.68,0,0.9944,153
93525,8,214.58,0,0.9944,152
93526,9,230.49,0,0.9944,149
93527,9,265.5,0,0.9944,150
93528,8,205.15,0,0.9944,153
93529,7,292.84,0,0.9948,181
93530,8,217.59,0,0.9947,174
93531,7,158.68,0,0.9947,177
93532,7,228.37,0,0.9947,176
93533,7,300.05,0,0.9947,176
93534,8,143.49,0,0.9944,154
93535,8,52.81,0,0.9945,156
93536,8,95.69,0,0.9945,161
93537,8,122.28,0,0.9946,162
93538,8,37.43,0,0.9946,166
93542,7,37.4,0,0.9947,177
93543,7,251.69,0,0.9948,185
93544,7,260.67,0,0.9948,191
93545,7,209.9,0,0.9948,191
93860,1,844.84,0,0.9939,346
93861,6,264.28,0,0.9947,211
93862,1,1604.04,0,0.9939,344
93863,1,3088.16,0,0.9939,344
93864,1,1189.77,0,0.9941,337
93865,7,0.11,0,0.9947,188
93867,7,17.54,0,0.9947,189
93868,7,158.44,0,0.9947,195
93869,7,495.91,0,0.9947,188
93870,7,594.87,0,0.9946,182
93871,7,360.14,0,0.9946,180
93872,7,147.14,0,0.9946,179
93873,8,118.02,0,0.9945,172
93874,8,66.07,0,0.9945,173
93875,8,270.71,0,0.9945,172
93876,7,201.81,0,0.9946,179
93877,7,161.91,0,0.9947,190
93878,7,192.7,0,0.9947,195
93879,6,185.6,0,0.9947,207
93880,7,128.7,0,0.9947,199
93881,6,196.36,0,0.9947,222
93882,6,799.44,0,0.9947,214
93883,6,782.04,0,0.9947,222
93884,1,3127.06,0,0.9936,360
93885,6,37.36,0,0.9947,221
93886,6,136.7,0,0.9947,211
93887,6,141.0,0,0.9947,207
93888,6,12.45,0,0.9947,209
93889,6,3.32,0,0.9947,207
93891,7,19.61,0,0.9947,188
93892,6,105.31,0,0.9947,223
93893,6,28.67,0,0.9947,213
93894,6,50.59,0,0.9947,210
93895,6,20.21,0,0.9947,204
93896,7,150.05,0,0.9947,193
93897,7,124.82,0,0.9946,180
93898,7,226.59,0,0.9946,181
93899,7,118.53,0,0.9946,180
93900,7,71.14,0,0.9946,178
93901,7,401.7,0,0.9946,178
93902,7,648.2,0,0.9947,195
93903,7,541.11,0,0.9947,194
93904,7,551.56,0,0.9946,182
93905,7,360.27,0,0.9946,181
93906,7,324.28,0,0.9946,185
93907,7,419.09,0,0.9946,185
93908,7,292.16,0,0.9947,187
93909,7,243.72,0,0.9947,194
93910,7,336.56,0,0.9947,192
93911,7,127.53,0,0.9947,194
