sc_point_gid,class,capacity,capital_adder_per_mw,cf
177643,7,530.84,171183.31,0.2968
177644,7,82.65,3630250.35,0.2984
177646,7,93.83,4561086.31,0.3037
177647,7,530.84,961883.86,0.3054
177648,7,530.84,982002.21,0.3074
177649,7,530.84,1006340.86,0.3096
177650,7,530.84,1008151.0,0.3114
177651,7,530.84,1014064.65,0.3131
177652,7,530.84,1021004.08,0.3141
177653,7,530.84,1040228.58,0.3147
177654,7,530.84,1064521.6,0.3149
177655,7,530.84,1089512.09,0.315
177656,7,530.84,1114099.46,0.3148
177657,7,530.84,1137580.33,0.314
177658,7,530.84,1159973.85,0.3137
177659,7,530.84,1184121.11,0.3136
177660,7,530.84,1214204.47,0.3133
177661,7,471.32,1384780.65,0.3131
177662,7,530.84,1290134.41,0.3132
177663,7,530.84,1315459.73,0.3133
177664,7,530.84,1320417.02,0.3134
177665,7,530.84,1323708.39,0.3133
177666,7,530.84,1334999.31,0.3134
177667,7,530.84,1352559.81,0.3131
177668,7,530.84,1377388.44,0.313
177669,7,530.84,1410477.24,0.3126
177670,7,530.84,1468879.28,0.3118
177671,7,403.54,1779779.02,0.3112
178254,2,368.26,34046.34,0.3162
178255,2,527.31,27186.33,0.3156
178256,2,514.48,112156.46,0.3144
178257,2,159.28,1245240.33,0.3138
178258,2,125.0,1629703.18,0.3132
178259,2,503.01,154012.24,0.313
178260,2,522.03,140180.71,0.312
178261,2,209.66,736651.39,0.3111
178262,2,373.25,253783.49,0.3094
178263,2,518.89,154481.09,0.3083
178264,2,526.73,168404.37,0.3075
178265,2,530.84,142942.34,0.3063
178266,2,223.4,677596.08,0.3056
178267,7,482.73,-140025.33,0.3052
178268,7,530.84,-24943.77,0.305
178269,7,530.84,-13745.2,0.3048
178270,7,403.44,139546.15,0.3044
178295,1,388.57,291228.15,0.2885
178296,1,530.84,121308.59,0.2868
178297,1,519.34,91416.89,0.2846
178298,1,38.23,1798529.06,0.283
178321,1,160.32,1284132.95,0.2819
178322,1,521.77,203819.68,0.2833
178323,1,530.84,231897.5,0.2855
178324,1,530.84,295488.44,0.2877
178325,1,530.84,370625.6,0.2898
178326,1,530.84,667764.24,0.2924
178327,7,530.84,96849.3,0.2952
178328,7,228.74,979403.15,0.2969
178330,7,271.74,1253468.57,0.3017
