municipality_key,year,pv_mw,storage_mw,storage_mwh
juana diaz,2045,27.9801510765,14.117221572,56.468886276
juana diaz,2050,32.400264633,15.382151299,61.528605194
juncos,2022,15.366906927999999,8.825523377,35.302093502
juncos,2025,15.805278936,8.967376384000001,35.8695055335
juncos,2028,17.064239358,9.178815884,36.715263542
juncos,2030,17.806036083000002,9.471436292,37.88574518
juncos,2035,19.115286564,10.4475991385,41.7903965525
juncos,2040,20.56485987,11.858725638,47.434902559
juncos,2045,25.162697227000002,13.4492259465,53.79690379099999
juncos,2050,28.90433255,14.718968689,58.875874745
lajas,2022,2.7608068869999998,0.858964833,3.4358593409999996
lajas,2025,3.2130596505,1.2317305655,4.9269222605
lajas,2028,4.103744468,1.3807532,5.5230128060000006
lajas,2030,4.6285481630000005,1.525644658,6.10257863
lajas,2035,5.5548120085,2.0567483145,8.2269932615
lajas,2040,6.580350947,2.952362445,11.80944978
lajas,2045,9.833212478,4.0049342525,16.019737011
lajas,2050,12.48033125,4.855487726,19.421950895000002
lares,2022,3.354218859,0.5034175,2.0136700000000003
lares,2025,5.425567552,1.145273367,4.5810934645
lares,2028,5.830320681,1.296119072,5.1844762929999995
lares,2030,6.5321580919999995,1.465194468,5.860777874
lares,2035,7.990679281,2.060112567,8.240450268
lares,2040,8.55646439,3.002830906,12.011323623
lares,2045,10.1727019755,4.0932720719999995,16.373088281999998
lares,2050,11.43000222,4.970436957,19.881747833
las marias,2022,1.188102025,0.1135992325,0.45439692889999994
las marias,2025,1.7882896600000002,0.3747281018,1.498912407
las marias,2028,1.91672457,0.4268066695,1.7072266820000002
las marias,2030,2.135767558,0.48974189,1.958967565
las marias,2035,2.5957248895,0.706803547,2.8272141885
las marias,2040,2.7789346320000003,1.03963103,4.158524114
las marias,2045,3.2940741765,1.4211877675,5.684751068000001
las marias,2050,3.70120694,1.727323218,6.909292873
las piedras,2022,0.0,2.622425508,10.489702035
las piedras,2025,7.616387404999999,3.91105109,15.644204365
las piedras,2028,9.727708503999999,4.343739019999999,17.374956083
las piedras,2030,10.971727813000001,4.96182476,19.847299037
las piedras,2035,13.167387107500002,7.0087186195,28.034874477000002
las piedras,2040,15.598372745999999,9.927516205,39.710064816
las piedras,2045,23.309108395000003,13.20379142,52.8151656815
las piedras,2050,29.583962962,15.816116264,63.264465071
loiza,2022,1.905379752,0.543789916,2.175159661
loiza,2025,2.6660645240000003,1.016298039,4.065192154
loiza,2028,3.4051180899999998,1.135157102,4.540628412
loiza,2030,3.8405785750000003,1.2432420180000001,4.972968063
loiza,2035,4.6091541515,1.6477173855,6.59086954
